source,record_id,scientific_name,license,image_url,local_path,captured_at
inaturalist,373932729,Naja naja,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683425222/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373932729.jpg,2026-06-21
inaturalist,373929796,Craspedocephalus malabaricus,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683419467/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373929796.jpg,2026-06-12
inaturalist,373929562,Hypnale hypnale,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683418950/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373929562.jpg,2026-06-21
inaturalist,373927733,Coelognathus helena,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683415808/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373927733.jpg,2026-06-21
inaturalist,373897669,Fowlea piscator,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683357307/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373897669.jpg,2014-11-05
inaturalist,373858449,Fowlea piscator,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683282859/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373858449.jpg,2024-06-11
inaturalist,373845000,Echis carinatus,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683254997/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373845000.jpg,2026-06-13
inaturalist,373838062,Craspedocephalus gramineus,,https://static.inaturalist.org/photos/683241362/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373838062.jpg,2026-06-19
inaturalist,373828543,Fowlea piscator,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683223202/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373828543.jpg,2026-05-06
inaturalist,373745422,Craspedocephalus gramineus,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/683060700/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inaturalist\373745422.jpg,2026-06-20
