source,record_id,scientific_name,venom_label,license,image_url,local_path,captured_at
inat_targeted,375244804,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/685984707/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\375244804.jpg,2026-06-25
inat_targeted,374841486,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/685187601/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374841486.jpg,2025-05-26
inat_targeted,374839077,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/685181623/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374839077.jpg,2026-06-22
inat_targeted,374681329,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684867758/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374681329.jpg,2026-06-17
inat_targeted,374655006,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684818318/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374655006.jpg,2026-06-21
inat_targeted,374653737,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684816091/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374653737.jpg,2026-06-22
inat_targeted,374652947,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684814597/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374652947.jpg,2026-06-22
inat_targeted,374575383,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684675218/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374575383.jpg,2026-06-20
inat_targeted,374574169,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684669526/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374574169.jpg,2026-06-22
inat_targeted,374537826,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684599841/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374537826.jpg,2026-06-23
inat_targeted,374286748,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/684106766/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\374286748.jpg,2026-06-22
inat_targeted,345958189,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/630555399/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\345958189.jpg,2025-08-15
inat_targeted,345702692,Naja naja,venomous,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/630055274/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\345702692.jpg,2026-03-27
inat_targeted,345301684,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/629265335/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\345301684.jpg,2026-03-26
inat_targeted,344905533,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/628483564/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\344905533.jpg,2026-03-24
inat_targeted,344874121,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/628424483/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\344874121.jpg,2026-03-24
inat_targeted,344670475,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/628040620/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\344670475.jpg,2026-03-23
inat_targeted,343984197,Naja naja,venomous,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/626702016/medium.jpg,E:\Coding_Notes\Faunari\data\raw\inat_targeted\Naja_naja\343984197.jpg,2026-03-20
